value,id,order
教員養成課程　社会科教育専攻,91,91
教員養成課程　国語教育専攻,92,92
教員養成課程　理科教育専攻,93,93
教員養成課程　数学教育専攻,94,94
教員養成課程　英語教育専攻,95,95
教員養成課程　言語・社会教育専攻,96,96
教員養成課程　生活創造教育専攻,97,97
教員養成課程　特別支援教育専攻,98,98
教員養成課程　芸術・保健体育教育専攻,99,99
教員養成課程　地域・環境教育専攻,100,100
教員養成課程　理数教育専攻,101,101
教員養成課程　生活・技術教育専攻,102,102
教員養成課程　養護教育専攻,103,103
教員養成課程　芸術体育教育専攻,104,104
教員養成課程　学校教育専攻,105,105
教員養成課程　学校カリキュラム開発専攻,106,106
教員養成課程　地域学校教育専攻,107,107
国際地域学科,108,108
教員養成課程　地域学校教育実践専攻,109,109
教員養成課程　教育発達専攻,110,110
高度教職実践専攻,111,111
学校教育専攻,112,112
教科教育専攻,113,113
学校臨床心理専攻,114,114
創造工学科,115,115
システム理化学科,116,116
システム理化学科　化学生物システムコース,117,117
創造工学科　機械系コース,118,118
システム理化学科　物理物質システムコース,119,119
創造工学科　電気電子工学コース,120,120
創造工学科　航空宇宙工学コース,121,121
創造工学科　建築土木工学コース,122,122
創造工学科　電気系コース,123,123
創造工学科　機械ロボット工学コース,124,124
システム理化学科　数理情報システムコース,125,125
情報電子工学系専攻,126,126
生産システム工学系専攻,127,127
工学系専攻,128,128
環境創生工学系専攻,129,129
工学専攻　先端情報電子工学コース,130,130
工学専攻　先端生産システム工学コース,131,131
工学専攻　先端環境創生工学コース,132,132
工学専攻,133,133
企業法学科,134,134
社会情報学科,135,135
商学科,136,136
アントレプレナーシップ専攻,137,137
現代商学専攻,138,138
畜産科学課程,139,139
畜産科学専攻,140,140
地域未来デザイン工学科,141,141
地域未来デザイン工学科　機械知能・生体工学コース,142,142
地域未来デザイン工学科,143,143
地球環境工学科　環境防災工学コース,144,144
地球環境工学科　エネルギー総合工学コース,145,145
地球環境工学科　地域マネジメント工学コース,146,146
地球環境工学科　先端材料物質工学コース,147,147
地域未来デザイン工学科　バイオ食品工学コース,148,148
地域未来デザイン工学科　社会インフラ工学コース,149,149
地球環境工学科,150,150
地域未来デザイン工学科　地域マネジメント工学コース,151,151
共創工学専攻　社会環境工学分野,152,152
共創工学専攻　機会電気工学分野,153,153
共創工学専攻　応用化学分野,154,154
共創工学専攻,155,155
共創工学専攻　情報通信工学分野,156,156
工学専攻　マネジメント工学プログラム,157,157
社会環境工学専攻,158,158
生産基盤工学専攻,159,159
寒冷地・環境・エネルギー工学専攻,160,160
バイオ環境化学専攻,161,161
機械工学専攻,162,162
情報システム工学専攻,163,163
電気電子工学専攻,164,164
工学専攻　社会環境工学プログラム,165,165
工学専攻　機械電気工学プログラム,166,166
工学専攻　情報通信工学プログラム,167,167
工学専攻　応用化学プログラム,168,168
マテリアル工学専攻,169,169
医療工学専攻,170,170
社会経営課程,171,171
文化創生課程,172,172
学校教育教員養成課程,173,173
養護教諭養成課程,174,174
物質創成化学科,175,175
地球環境防災学科,176,176
自然エネルギー学科,177,177
機械科学科,178,178
数物科学科,179,179
電子情報工学科,180,180
保健学科　放射線技術科学専攻,181,181
保健学科　作業療法学専攻,182,182
保健学科　理学療法学専攻,183,183
心理支援科学科,184,184
保健学科　看護学専攻,185,185
保健学科　検査技術科学専攻,186,186
国際園芸農学科,187,187
食料資源学科,188,188
生物学科,189,189
分子生命科学科,190,190
地域環境工学科,191,191
教職実践専攻,192,192
人文社会科学専攻,193,193
地域社会専攻,194,194
農学生命科学専攻,195,195
保健学専攻,196,196
安全システム工学専攻,197,197
機能創成科学専攻,198,198
理工学専攻,199,199
地域リノベーション専攻,200,200
産業創成科学専攻,201,201
地域政策課程,202,202
人間文化課程,203,203
システム創成工学科,204,204
化学・生命理工学科,205,205
物理・材料理工学科,206,206
システム創成工学科　知能・メディア情報コース,207,207
システム創成工学科　社会基盤・環境コース,208,208
システム創成工学科　機械科学コース,209,209
システム創成工学科　電気電子通信コース,210,210
共同獣医学科,211,211
植物生命科学科,212,212
食料生産環境学科,213,213
応用生物化学科,214,214
動物科学科,215,215
共同獣医学専攻,216,216
デザイン・メディア工学専攻,217,217
システム創成工学専攻,218,218
自然・応用科学専攻,219,219
寒冷圏生命システム学専攻,220,220
地域環境創生学専攻,221,221
生物環境科学専攻,222,222
生物資源科学専攻,223,223
生物生産科学専攻,224,224
地域創生専攻,225,225
総合文化学専攻,226,226
理工学専攻　生命科学コース,227,227
理工学専攻　数理・物理コース,228,228
理工学専攻　電気電子通信コース,229,229
理工学専攻　材料科学コース,230,230
理工学専攻　物質化学コース,231,231
理工学専攻　機械・航空宇宙コース,232,232
理工学専攻　デザイン・メディア工学コース,233,233
理工学専攻　知能情報コース,234,234
法学科,235,235
人文社会学科,236,236
教育科学科,237,237
地球惑星物質科学科,238,238
宇宙地球物理学科,239,239
地圏環境科学科,240,240
電気情報物理工学科,241,241
化学・バイオ工学科,242,242
機械知能・航空工学科,243,243
建築・社会環境工学科,244,244
材料科学総合学科,245,245
生物生産科学科,246,246
創薬科学科,247,247
公衆衛生学専攻,248,248
障害科学専攻,249,249
医工学専攻,250,250
先進社会環境学専攻,251,251
先端環境創成学専攻,252,252
環境科学専攻,253,253
総合教育科学専攻,254,254
教育設計評価専攻,255,255
会計専門職専攻,256,256
経済経営学専攻,257,257
電気エネルギーシステム専攻,258,258
ロボティクス専攻,259,259
ファインメカニクス専攻,260,260
機械機能創成専攻,261,261
バイオ工学専攻,262,262
金属フロンティア工学専攻,263,263
材料システム工学専攻,264,264
知能デバイス材料学専攻,265,265
応用化学専攻,266,266
化学工学専攻,267,267
航空宇宙工学専攻,268,268
通信工学専攻,269,269
電子工学専攻,270,270
都市・建築学専攻,271,271
土木工学専攻,272,272
量子エネルギー工学専攻,273,273
技術社会システム専攻,274,274
国際地域文化論専攻,275,275
国際文化研究専攻,276,276
国際文化交流論専攻,277,277
国際文化言語論専攻,278,278
歯科学専攻,279,279
システム情報科学専攻,280,280
情報基礎科学専攻,281,281
人間社会情報科学専攻,282,282
応用情報科学専攻,283,283
分子化学生物学専攻,284,284
生態発生適応科学専攻,285,285
脳生命統御科学専攻,286,286
応用生命科学専攻,287,287
資源生物科学専攻,288,288
農芸化学専攻,289,289
生物産業創成科学専攻,290,290
日本学専攻,291,291
総合人間学専攻,292,292
広域文化学専攻,293,293
法政理論研究専攻,294,294
公共法政策専攻,295,295
総合法制専攻,296,296
生命薬科学専攻,297,297
分子薬科学専攻,298,298
化学専攻,299,299
地学専攻,300,300
地球物理学専攻,301,301
天文学専攻,302,302
物理学専攻,303,303
特別支援教育教員養成課程,304,304
初等教育教員養成課程,305,305
中等教育教員養成課程,306,306
特別支援教育専攻,307,307
数理・電気電子情報学科,308,308
システムデザイン工学科,309,309
生命科学科,310,310
数理・電気電子情報学科　人間情報工学コース,311,311
生命科学科　生命科学コース,312,312
物質科学科　材料理工学コース,313,313
物質科学科　応用化学コース,314,314
数理・電気電子情報学科　数理科学コース,315,315
数理・電気電子情報学科　電気電子工学コース,316,316
システムデザイン工学科　土木環境工学コース,317,317
システムデザイン工学科　機械工学コース,318,318
物質科学科,319,319
システムデザイン工学科　創造生産工学コース,320,320
学校教育課程　特別支援教育コース,321,321
学校教育課程　こども発達コース,322,322
学校教育課程　理数教育コース,323,323
学校教育課程　教育実践コース,324,324
学校教育課程　英語教育コース,325,325
学校教育課程,326,326
国際言語文化課程,327,327
地域文化学科,328,328
心理教育実践専攻,329,329
共同ライフサイクルデザイン工学専攻,330,330
システムデザイン工学専攻,331,331
数理・電気電子情報学専攻,332,332
総合理工学専攻,333,333
物質科学専攻,334,334
共同サステナブル工学専攻,335,335
国際資源学科　資源政策コース,336,336
国際資源学科　資源地球科学コース,337,337
国際資源学科　資源開発環境コース,338,338
国際資源学科,339,339
資源開発環境学専攻,340,340
資源地球科学専攻,341,341
資源学専攻,342,342
専攻なし,343,343
人文社会科学科,344,344
理学科,345,345
情報・エレクトロニクス学科,346,346
高分子・有機材料工学科,347,347
建築・デザイン学科,348,348
機械システム工学科,349,349
食料生命環境学科,350,350
看護学科,351,351
生命環境医科学専攻,352,352
先進的医科学専攻,353,353
看護学専攻,354,354
社会システム専攻,355,355
文化システム専攻,356,356
文化創造専攻,357,357
臨床心理学専攻,358,358
生物環境学専攻,359,359
生物資源学専攻,360,360
生物生産学専攻,361,361
バイオ化学工学専攻,362,362
応用生命システム工学専攻,363,363
ものづくり技術経営学専攻,364,364
先進工学専攻,365,365
機械システム工学専攻,366,366
電子情報工学専攻,367,367
物質化学工学専攻,368,368
情報・エレクトロニクス専攻,369,369
建築・デザイン・マネジメント専攻,370,370
化学・バイオ工学専攻,371,371
理学専攻,372,372
地球共生圏科学専攻,373,373
地域教育文化学科,374,374
有機材料システム専攻,375,375
社会文化創造専攻,376,376
共生システム理工学専攻,377,377
環境放射能学専攻,378,378
経営学専攻,379,379
経済学専攻,380,380
地域政策科学専攻,381,381
地域文化創造専攻,382,382
経済経営学類,383,383
行政政策学類,384,384
人間発達文化学類,385,385
人間発達文化学類　文化探究専攻,386,386
人間発達文化学類　人間発達専攻,387,387
人間発達文化学類　スポーツ・芸術創造専攻,388,388
人間発達文化学類　現代教養コース　文化教養モデル,389,389
人間発達文化学類　スポーツ健康科学コース,390,390
人間発達文化学類　人文科学コース,391,391
人間発達文化学類　心理学・幼児教育コース,392,392
人間発達文化学類　特別支援・生活科学コース,393,393
人間発達文化学類　数理自然科学コース,394,394
人間発達文化学類　芸術・表現コース,395,395
人間発達文化学類　教育実践コース,396,396
共生システム理工学類,397,397
共生システム理工学類　人間支援システム専攻,398,398
共生システム理工学類　産業システム工学専攻,399,399
共生システム理工学類　環境システムマネジメント専攻,400,400
共生システム理工学類　社会計画コース,401,401
共生システム理工学類　物質科学コース,402,402
共生システム理工学類　数理・情報科学コース,403,403
共生システム理工学類　経営システムコース,404,404
共生システム理工学類　地球環境コース,405,405
共生システム理工学類　生物環境コース,406,406
共生システム理工学類　心理・生理コース,407,407
共生システム理工学類　物理・システム工学コース,408,408
共生システム理工学類　エネルギーコース,409,409
教職高度化専攻,410,410
食農学類,411,411
食農科学専攻,412,412
経済経営専攻,413,413
人間文化専攻,414,414
法律経済学科,415,415
現代社会学科,416,416
人間文化学科,417,417
情報文化課程,418,418
人間環境教育課程,419,419
生体分子機能工学科,420,420
メディア通信工学科,421,421
機械工学科,422,422
情報工学科,423,423
電気電子システム工学科,424,424
電気電子工学科,425,425
都市システム工学科,426,426
物質科学工学科,427,427
マテリアル工学科,428,428
知能システム工学科,429,429
食生命科学科,430,430
地域総合農学科,431,431
教育実践高度化専攻,432,432
障害児教育専攻,433,433
養護教育専攻,434,434
社会科学専攻,435,435
人文科学専攻,436,436
文化科学専攻,437,437
量子線科学専攻,438,438
複雑系システム科学専攻,439,439
社会インフラシステム科学専攻,440,440
電気電子システム工学専攻,441,441
都市システム工学専攻,442,442
知的障害教育専攻,443,443
応用理工学類,444,444
化学類,445,445
数学類,446,446
物理学類,447,447
工学システム学類,448,448
社会工学類,449,449
総合理工学位プログラム,450,450
医療科学類,451,451
看護学類,452,452
医学類,453,453
国際総合学類,454,454
社会学類,455,455
情報メディア創成学類,456,456
情報科学類,457,457
知識情報・図書館学類,458,458
教育学類,459,459
障害科学類,460,460
心理学類,461,461
人文学類,462,462
日本語・日本文化学類,463,463
比較文化学類,464,464
地球学類,465,465
生物学類,466,466
生物資源学類,467,467
ヒューマンバイオロジー学位プログラム,468,468
エンパワーメント情報学プログラム,469,469
ライフイノベーション学位プログラム,470,470
ヒューマニクス学位プログラム,471,471
国際連携持続環境科学専攻,472,472
数理物質科学研究群　応用理工学学位プログラム,473,473
システム情報工学研究群　ライフイノベーション　生物情報　学位プログラム,474,474
システム情報工学研究群,475,475
生命地球科学研究群　生物資源科学学位プログラム,476,476
生命地球科学研究群　ライフイノベーション　食料革新　学位プログラム,477,477
生命地球科学研究群　生命農学学位プログラム,478,478
システム情報工学研究群　情報理工学位プログラム,479,479
システム情報工学研究群　知能機能システム学位プログラム,480,480
システム情報工学研究群　リスク・レジリエンス工学学位プログラム,481,481
生命地球科学研究群　環境科学学位プログラム,482,482
生命地球科学研究群　ライフイノベーション　環境制御　学位プログラム,483,483
システム情報工学研究群　社会工学学位プログラム,484,484
数理物質科学研究群　国際マテリアルズイノベーション学位プログラム,485,485
生命地球科学研究群　生物学学位プログラム,486,486
生命地球科学研究群　地球科学学位プログラム,487,487
生命地球科学研究群　農学学位プログラム,488,488
生命地球科学研究群　ライフイノベーション　生体分子材料　学位プログラム,489,489
システム情報工学研究群　エンパワーメント情報学プログラム,490,490
生命地球科学研究群　生命産業科学学位プログラム,491,491
生命地球科学研究群　環境学学位プログラム,492,492
生命地球科学研究群　山岳科学学位プログラム,493,493
数理物質科学研究群　数学学位プログラム,494,494
数理物質科学研究群,495,495
システム情報工学研究群　サービス工学学位プログラム,496,496
数理物質科学研究群　化学学位プログラム,497,497
システム情報工学研究群　構造エネルギー工学学位プログラム,498,498
数理物質科学研究群　物理学学位プログラム,499,499
生命地球科学研究群,500,500
国際経営プロフェッショナル専攻,501,501
法曹専攻,502,502
ビジネス科学研究群,503,503
人文社会科学研究群,504,504
大学体育スポーツ高度化共同専攻,505,505
スポーツ国際開発学共同専攻,506,506
国際連携食料健康科学専攻,507,507
人間総合科学研究群,508,508
教育学学位プログラム,509,509
地球規模課題学位プログラム,510,510
第２類,511,511
第３類,512,512
第１類,513,513
国際学科,514,514
国際社会学科,515,515
国際文化学科,516,516
応用化学科,517,517
基盤工学科,518,518
応用生命化学科,519,519
農業環境工学科,520,520
国際学研究専攻,521,521
コミュニティデザイン学科,522,522
社会基盤デザイン学科,523,523
建築都市デザイン学科,524,524
社会デザイン科学専攻,525,525
工農総合科学専攻,526,526
先端融合科学専攻,527,527
情報学科,528,528
総合理工学科,529,529
化学・生物化学科,530,530
電子情報理工学科,531,531
環境創生理工学科,532,532
機械知能システム理工学科,533,533
電子・機械類,534,534
物質・環境類,535,535
社会情報学専攻,536,536
生命医科学専攻,537,537
教養学科,538,538
学校教育教員養成課程　特別支援教育コース,539,539
学校教育教員養成課程　小学校コース,540,540
学校教育教員養成課程　中学校コース,541,541
学校教育教員養成課程　乳幼児教育コース,542,542
基礎化学科,543,543
生体制御学科,544,544
分子生物学科,545,545
機械工学・システムデザイン学科,546,546
電気電子物理工学科,547,547
環境社会デザイン学科,548,548
文化環境専攻,549,549
日本アジア文化専攻,550,550
国際日本アジア専攻,551,551
化学系専攻,552,552
機械科学専攻,553,553
生命科学系専攻,554,554
環境社会基盤専攻,555,555
数理電子情報専攻,556,556
融合教育プログラム,557,557
物理機能系専攻,558,558
数理電子情報系専攻,559,559
機械科学系専攻,560,560
環境システム工学系専攻,561,561
人文学科,562,562
学校教員養成課程,563,563
学校教員養成課程　中学校コース,564,564
学校教員養成課程　特別支援教育コース,565,565
学校教員養成課程　小学校コース,566,566
学校教員養成課程　小中専門教科コース,567,567
学校教員養成課程　英語教育コース,568,568
学校教員養成課程　幼児教育コース,569,569
学校教員養成課程　養護教諭コース,570,570
小学校教員養成課程,571,571
中学校教員養成課程,572,572
幼稚園教員養成課程,573,573
数学・情報数理学科,574,574
地球科学科,575,575
総合工学科,576,576
総合工学科　共生応用化学コース,577,577
総合工学科　建築学コース,578,578
総合工学科　機械工学コース,579,579
総合工学科　情報工学コース,580,580
総合工学科　医工学コース,581,581
総合工学科　電気電子工学コース,582,582
総合工学科　都市環境システムコース,583,583
総合工学科　デザインコース,584,584
総合工学科　物質科学コース,585,585
緑地環境学科,586,586
食料資源経済学科,587,587
園芸学科,588,588
共同災害看護学専攻,589,589
看護システム管理学専攻,590,590
学校教育学専攻,591,591
法政経学科,592,592
国際教養学科,593,593
先端医学薬学専攻,594,594
先端創薬科学専攻,595,595
先進予防医学共同専攻,596,596
総合薬品科学専攻,597,597
法務専攻,598,598
環境園芸学専攻,599,599
小児発達学専攻,600,600
数学情報科学専攻　情報科学コース,601,601
創成工学専攻　建築学コース,602,602
先進理化学専攻　物理学コース,603,603
創成工学専攻　イメージング科学コース,604,604
地球環境科学専攻　地球科学コース,605,605
基幹工学専攻,606,606
数学情報科学専攻　数学・情報数理学コース,607,607
地球環境科学専攻　都市環境システムコース,608,608
地球環境科学専攻　リモートセンシングコース,609,609
基幹工学専攻　機械工学コース,610,610
数学情報科学専攻,611,611
基幹工学専攻　医工学コース,612,612
先進理化学専攻　共生応用化学コース,613,613
先進理化学専攻　物質科学コース,614,614
先進理化学専攻,615,615
創成工学専攻　デザインコース,616,616
先進理化学専攻　化学コース,617,617
創成工学専攻,618,618
基幹工学専攻　電気電子工学コース,619,619
先進理化学専攻　生物学コース,620,620
地球環境科学専攻,621,621
公共社会科学専攻,622,622
人文公共学専攻,623,623
第１類　法学総合コース,624,624
第２類　法律プロフェッション・コース,625,625
第３類　政治コース,626,626
金融学科,627,627
学際科学科,628,628
統合自然科学科,629,629
理科三類,630,630
文科一類,631,631
文科二類,632,632
理科二類,633,633
理科一類,634,634
文科三類,635,635
総合教育科学科,636,636
地球惑星環境学科,637,637
生物情報科学科,638,638
情報科学科,639,639
生物化学科,640,640
地球惑星物理学科,641,641
天文学科,642,642
社会基盤学科,643,643
化学システム工学科,644,644
化学生命工学科,645,645
機械情報工学科,646,646
計数工学科,647,647
建築学科,648,648
航空宇宙工学科,649,649
精密工学科,650,650
都市工学科,651,651
物理工学科,652,652
システム創成学科,653,653
応用生命科学課程,654,654
獣医学課程,655,655
環境資源科学課程,656,656
健康総合科学科,657,657
自然環境学専攻,658,658
社会文化環境学専攻,659,659
海洋技術環境学専攻,660,660
メディカル情報生命専攻,661,661
メディカルゲノム専攻,662,662
国際協力学専攻,663,663
人間環境学専攻,664,664
先端エネルギー工学専攻,665,665
先端生命科学専攻,666,666
複雑理工学専攻,667,667
物質系専攻,668,668
環境システム学専攻,669,669
公共健康医学専攻,670,670
外科学専攻,671,671
機能生物学専攻,672,672
健康科学・看護学専攻,673,673
国際保健学専攻,674,674
社会医学専攻,675,675
生殖・発達・加齢医学専攻,676,676
生体物理医学専攻,677,677
内科学専攻,678,678
脳神経医学専攻,679,679
病因・病理学専攻,680,680
分子細胞生物学専攻,681,681
学校教育高度化専攻,682,682
経済専攻,683,683
マネジメント専攻,684,684
技術経営戦略学専攻,685,685
システム創成学専攻,686,686
社会基盤学専攻,687,687
原子力専攻,688,688
原子力国際専攻,689,689
化学システム工学専攻,690,690
化学生命工学専攻,691,691
建築学専攻,692,692
精密工学専攻,693,693
先端学際工学専攻,694,694
電気系工学専攻,695,695
都市工学専攻,696,696
物理工学専攻,697,697
バイオエンジニアリング専攻,698,698
アジア文化研究専攻,699,699
欧米系文化研究専攻,700,700
基礎文化研究専攻,701,701
社会文化研究専攻,702,702
日本文化研究専攻,703,703
文化資源学研究専攻,704,704
韓国朝鮮文化研究専攻,705,705
数理科学専攻,706,706
言語情報科学専攻,707,707
広域科学専攻,708,708
国際社会科学専攻,709,709
地域文化研究専攻,710,710
超域文化科学専攻,711,711
応用生命化学専攻,712,712
応用生命工学専攻,713,713
応用動物科学専攻,714,714
森林科学専攻,715,715
水圏生物科学専攻,716,716
生産・環境生物学専攻,717,717
生物・環境工学専攻,718,718
生物材料科学専攻,719,719
農学国際専攻,720,720
農業・資源経済学専攻,721,721
生圏システム学専攻,722,722
総合法政専攻,723,723
法曹養成専攻,724,724
薬科学専攻,725,725
薬学専攻,726,726
生物科学専攻,727,727
地球惑星科学専攻,728,728
学際情報学専攻,729,729
創造情報学専攻,730,730
数理情報学専攻,731,731
電子情報学専攻,732,732
コンピュータ科学専攻,733,733
システム情報学専攻,734,734
知能機械情報学専攻,735,735
国際公共政策学専攻,736,736
国際日本学科,737,737
国際日本専攻,738,738
世界言語社会専攻,739,739
共同サステイナビリティ研究専攻,740,740
言語文化学科,741,741
養護教育教員養成課程,742,742
初等教育教員養成課程　英語選修,743,743
初等教育教員養成課程　社会選修,744,744
初等教育教員養成課程　国語選修,745,745
初等教育教員養成課程　音楽選修,746,746
初等教育教員養成課程　家庭選修,747,747
初等教育教員養成課程　数学選修,748,748
初等教育教員養成課程　幼児教育選修,749,749
初等教育教員養成課程　国際教育選修,750,750
初等教育教員養成課程　保健体育選修,751,751
初等教育教員養成課程　理科選修,752,752
初等教育教員養成課程　学校教育選修,753,753
初等教育教員養成課程　学校心理選修,754,754
初等教育教員養成課程　情報教育選修,755,755
初等教育教員養成課程　美術選修,756,756
教育支援課程,757,757
初等教育教員養成課程　ものづくり技術選修,758,758
初等教育教員養成課程　環境教育選修,759,759
教育支援協働実践開発専攻,760,760
教育実践専門職高度化専攻,761,761
次世代日本型教育システム研究開発専攻,762,762
応用分子化学科,763,763
生体医用システム工学科,764,764
化学物理工学科,765,765
生命工学科,766,766
知能情報システム工学科,767,767
物理システム工学科,768,768
有機材料化学科,769,769
応用生物科学科,770,770
環境資源科学科,771,771
生物生産学科,772,772
地域生態システム学科,773,773
環境資源共生科学専攻,774,774
農林共生社会科学専攻,775,775
農業環境工学専攻,776,776
産業技術専攻,777,777
化学物理工学専攻,778,778
生体医用システム工学専攻,779,779
情報工学専攻,780,780
生命工学専攻,781,781
知能情報システム工学専攻,782,782
物理システム工学専攻,783,783
農学専攻　生物生産科学コース,784,784
農学専攻　食農情報工学コース,785,785
農学専攻　地球社会学コース,786,786
農学専攻　国際イノベーション農学コース,787,787
農学専攻　応用生命化学コース,788,788
農学専攻　自然環境資源コース,789,789
環境資源物質科学専攻,790,790
共生持続社会学専攻,791,791
国際環境農学専攻,792,792
自然環境保全学専攻,793,793
生物制御科学専攻,794,794
物質循環環境科学専攻,795,795
共同先進健康科学専攻,796,796
食料エネルギーシステム科学専攻,797,797
生物機能システム科学専攻,798,798
デザイン科,799,799
絵画科,800,800
芸術学科,801,801
建築科,802,802
工芸科,803,803
彫刻科,804,804
先端芸術表現科,805,805
楽理科,806,806
器楽科,807,807
作曲科,808,808
指揮科,809,809
声楽科,810,810
邦楽科,811,811
音楽環境創造科,812,812
音楽文化学専攻,813,813
オペラ専攻,814,814
音楽専攻,815,815
器楽専攻,816,816
作曲専攻,817,817
指揮専攻,818,818
声楽専攻,819,819
邦楽専攻,820,820
グローバルアートプラクティス専攻,821,821
デザイン専攻,822,822
絵画専攻,823,823
芸術学専攻,824,824
建築専攻,825,825
工芸専攻,826,826
彫刻専攻,827,827
美術専攻,828,828
文化財保存学専攻,829,829
先端芸術表現専攻,830,830
映像メディア学専攻,831,831
アニメーション専攻,832,832
映画専攻,833,833
メディア映像専攻,834,834
アートプロデュース専攻,835,835
低学年理系学科,836,836
建築学系　エンジニアリングデザインコース,837,837
技術経営専門職学位課程,838,838
建築学系,839,839
融合理工学系　エネルギーコース,840,840
土木・環境工学系　エンジニアリングデザインコース,841,841
建築学系　建築学コース,842,842
土木・環境工学系,843,843
建築学系　都市・環境学コース,844,844
融合理工学系　地球環境共創コース,845,845
融合理工学系　エンジニアリングデザインコース,846,846
土木・環境工学系　土木工学コース,847,847
土木・環境工学系　都市・環境学コース,848,848
融合理工学系　原子核工学コース,849,849
融合理工学系,850,850
イノベーション科学系,851,851
社会・人間科学系,852,852
生命理工学系,853,853
生命理工学系　ライフエンジニアリングコース,854,854
生命理工学系　生命理工学コース,855,855
生命理工学系　地球生命コース,856,856
経営工学系,857,857
情報通信系,858,858
システム制御系,859,859
機械系,860,860
電気電子系,861,861
材料系,862,862
応用化学系,863,863
物理学系,864,864
地球惑星科学系,865,865
化学系,866,866
数学系,867,867
材料系　ライフエンジニアリングコース,868,868
応用化学系　原子核工学コース,869,869
応用化学系　ライフエンジニアリングコース,870,870
応用化学系　エネルギーコース,871,871
材料系　エネルギーコース,872,872
材料系　材料コース,873,873
材料系　原子核工学コース,874,874
応用化学系　応用化学コース,875,875
応用化学系　地球生命コース,876,876
地球惑星科学系　地球惑星科学コース,877,877
化学系　エネルギーコース,878,878
化学系　化学コース,879,879
地球惑星科学系　地球生命コース,880,880
情報工学系,881,881
数理・計算科学系,882,882
電気電子系　エネルギーコース,883,883
電気電子系　原子核工学コース,884,884
機械系　ライフエンジニアリングコース,885,885
経営工学系　経営工学コース,886,886
経営工学系　エンジニアリングデザインコース,887,887
システム制御系　エンジニアリングデザインコース,888,888
機械系　エンジニアリングデザインコース,889,889
機械系　機械コース,890,890
機械系　エネルギーコース,891,891
情報通信系　ライフエンジニアリングコース,892,892
システム制御系　システム制御コース,893,893
電気電子系　電気電子コース,894,894
情報通信系　情報通信コース,895,895
機械系　原子核工学コース,896,896
電気電子系　ライフエンジニアリングコース,897,897
情報通信系　エンジニアリングデザインコース,898,898
数理・計算科学系　数理・計算科学コース,899,899
数理・計算科学系　知能情報コース,900,900
情報工学系　知能情報コース,901,901
情報工学系　情報工学コース,902,902
情報工学系　ライフエンジニアリングコース,903,903
情報・ネットワーク工学専攻,904,904
基盤理工学専攻,905,905
情報学専攻,906,906
機械知能システム学専攻,907,907
先端工学基礎課程,908,908
３類　理工系,909,909
１類　情報系,910,910
２類　融合系,911,911
法律学科,912,912
社会学科,913,913
国際企業戦略専攻,914,914
経営管理専攻,915,915
総合経済学専攻,916,916
言語社会専攻,917,917
地球社会研究専攻,918,918
総合社会科学専攻,919,919
法学・国際関係専攻,920,920
ビジネスロー専攻,921,921
国際・公共政策専攻,922,922
ソーシャル・データサイエンス専攻,923,923
ソーシャル・データサイエンス学科,924,924
数物・電子情報系学科,925,925
化学・生命系学科,926,926
機械・材料・海洋系学科,927,927
